"","actin","cd3","cd4","cd45","cd45ro","collageni","cytokeratin","fibulin2","lyve1","podoplanin","cd38","cd138","InferredCellType"
"1",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"2",0,0,0,0,1,1,0,0,0,0,0,0,"Mixed"
"3",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"4",0,0,0,0,0,1,0,0,0,1,0,0,"Mixed"
"5",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"6",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"7",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"8",0,1,1,1,0,0,0,0,0,0,0,0,"T-cells CD4+ (helper)"
"9",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"10",0,1,1,0,0,0,0,0,0,0,0,0,"T-cells Mixed"
"11",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"12",0,0,0,0,0,0,1,0,0,0,0,1,"Epithelial cells"
"13",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"14",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"15",0,0,0,0,0,0,0,0,0,1,0,1,"Mixed"
"16",0,0,0,0,1,0,0,0,0,0,0,0,"T-cells Mixed"
"17",0,0,0,1,0,1,0,0,0,0,0,0,"Mixed"
"18",0,0,0,1,0,0,0,0,0,0,0,0,"T-cells Mixed"
"19",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"20",0,0,0,0,1,1,0,0,0,0,0,1,"Mixed"
"21",0,1,0,0,1,0,0,0,0,0,0,0,"T-cells Mixed"
"22",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"23",0,0,0,0,0,0,0,0,0,1,0,1,"Mixed"
"24",1,0,0,0,0,0,0,0,0,0,0,0,"Myocytes"
"25",0,0,0,0,0,0,1,0,0,0,0,1,"Epithelial cells"
"26",0,0,0,0,0,0,0,0,0,1,0,0,"Lymphatic vessel"
"27",0,0,0,0,0,1,0,0,0,0,0,1,"Mixed"
"28",0,0,0,0,1,0,0,0,0,0,0,1,"Mixed"
"29",0,0,0,0,0,0,0,0,0,0,0,1,"Mixed"
"30",0,1,1,0,1,0,0,0,0,0,0,0,"T-cells Mixed"
"31",0,0,0,0,0,0,0,0,0,1,0,0,"Lymphatic vessel"
"32",0,0,0,0,0,0,0,0,0,1,0,1,"Mixed"
"33",0,0,0,0,0,1,0,0,0,1,0,1,"Mixed"
"34",0,0,0,0,1,0,0,0,0,0,0,1,"Mixed"
"35",1,0,0,0,0,0,1,0,0,1,0,1,"Mixed"
"36",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"37",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"38",1,0,0,0,1,0,0,0,0,0,0,0,"Mixed"
"39",0,0,0,0,0,0,0,0,0,1,0,0,"Lymphatic vessel"
"40",0,0,0,1,0,0,0,0,0,0,0,1,"Mixed"
"41",0,0,0,0,1,1,0,0,0,0,0,0,"Mixed"
"42",1,0,0,0,0,0,0,0,0,0,0,0,"Myocytes"
"43",0,0,0,0,0,1,0,0,0,0,0,0,"Extracellular matrix"
"44",0,0,0,0,0,0,0,0,0,1,0,1,"Mixed"
"45",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"46",0,0,0,0,0,0,0,0,0,1,0,1,"Mixed"
"47",0,0,0,0,0,0,0,0,0,0,0,1,"Mixed"
"48",0,0,0,0,0,0,1,0,0,0,0,1,"Epithelial cells"
"49",0,0,0,0,0,0,0,0,0,1,0,0,"Lymphatic vessel"
"50",0,0,0,0,0,1,0,0,0,0,0,0,"Extracellular matrix"
"51",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"52",0,0,0,1,0,0,0,0,0,0,0,0,"T-cells Mixed"
"53",0,0,0,1,0,0,0,0,0,0,0,0,"T-cells Mixed"
"54",0,0,0,0,0,0,0,0,0,1,0,1,"Mixed"
"55",0,1,1,0,1,0,0,0,0,0,0,1,"Mixed"
"56",1,1,0,1,0,0,0,0,0,0,0,0,"Mixed"
"57",1,0,0,0,0,0,0,0,0,0,0,0,"Myocytes"
"58",1,0,0,0,0,0,0,0,0,0,0,0,"Myocytes"
"59",0,0,0,0,0,1,0,0,0,0,0,0,"Extracellular matrix"
"60",0,0,0,0,1,0,0,0,0,0,0,1,"Mixed"
"61",0,0,0,0,0,0,0,0,0,1,0,0,"Lymphatic vessel"
"62",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"63",0,0,0,0,1,1,0,0,0,0,0,0,"Mixed"
"64",0,0,0,0,0,0,0,0,0,1,0,0,"Lymphatic vessel"
"65",1,0,0,0,0,0,0,0,0,0,0,0,"Myocytes"
"66",0,0,0,0,1,0,0,0,0,0,0,1,"Mixed"
"67",0,1,1,1,0,0,0,0,0,1,0,0,"Mixed"
"68",1,0,0,1,0,0,0,0,0,0,0,0,"Mixed"
"69",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"70",0,0,0,0,0,0,0,0,0,0,0,1,"Mixed"
