"","actin","cd3","cd4","cd45","cd45ro","collageni","cytokeratin","fibulin2","lyve1","podoplanin","cd38","cd138","area","X_coord","Y_coord","InferredCellType"
"1",2267,7279,680,651,4858,1265,5457,6178,1917,3903,618,9684,854,23.1768149882904,9.21779859484777,"Other"
"2",2550,7433,3287,517,15970,2415,5312,6493,1920,538,816,9158,2829,194.078119476847,21.315659243549,"Mixed"
"3",1913,8277,5341,1362,9727,1145,6841,4474,2163,5597,1953,9848,3012,305.499667994688,19.1982071713147,"Other"
"4",2525,7557,1108,298,5619,1564,7415,6858,2010,15072,717,10962,1819,668.349642660803,17.4920285871358,"Mixed"
"5",4271,7910,915,338,4610,33,7120,3326,1993,3715,548,11231,2130,2061.60281690141,15.4441314553991,"Other"
"6",2704,8876,3464,1294,7326,160,8110,5326,2061,9279,720,12681,3714,2115.87829833064,27.2049003769521,"Other"
"7",2880,7978,1313,329,5552,480,7196,4099,2025,5126,646,11906,1167,2200.89031705227,9.23479005998286,"Other"
"8",2895,11952,7424,12011,11522,267,8023,2690,2025,7885,753,11176,2868,2567.14644351464,19.965829846583,"T-cells CD4+ (helper)"
"9",1720,6401,1026,362,4351,759,6355,2756,1698,5221,621,10659,3001,3821.02265911363,22.6154615128291,"Other"
"10",4582,12874,7950,908,10486,938,6222,4507,2304,11685,664,12981,2063,3964.43819680078,17.5046049442559,"T-cells Mixed"
"11",1616,6017,4971,3080,7068,361,4258,1676,1611,5280,732,10570,1110,4064.92342342342,10.836036036036,"Other"
"12",2479,6357,1341,367,6059,326,15154,2715,3114,10472,1135,18977,2373,4466.64433206911,18.2237673830594,"Epithelial cells"
"13",1773,6328,1417,430,7745,100,6547,2046,2537,9072,663,9540,3815,4615.75858453473,25.7583224115334,"Other"
"14",2439,6621,824,683,11815,564,7965,2402,2285,12075,675,11567,3462,5151.01993067591,21.4428076256499,"Other"
"15",2781,6356,1179,594,12354,1273,7078,5071,2147,29521,823,17157,3434,5227.60570762959,23.2408270238789,"Mixed"
"16",1965,6337,1184,542,15618,1307,6519,2732,1771,10715,723,12386,2615,7161.98011472275,17.7632887189293,"T-cells Mixed"
"17",2629,7838,990,14559,7359,1617,4919,7024,1877,487,1053,8096,1663,7744.4852675887,15.2254960914011,"Mixed"
"18",2264,6855,1073,22109,5619,193,6624,4083,2125,7773,701,10073,2436,7796.4158456486,19.7963875205255,"T-cells Mixed"
"19",1936,7262,1269,583,5064,0,4916,2342,2224,832,736,8334,3253,8735.44359053182,21.7236397171841,"Other"
"20",2573,9050,4080,625,14772,1441,6758,7976,2094,11436,635,14611,1272,8917.49449685535,10.8223270440252,"Mixed"
"21",2266,10732,4750,3453,17160,1090,9894,9253,2210,5251,694,9760,4623,9194.52801211335,31.6452520008652,"T-cells Mixed"
"22",1944,6534,5548,2316,7215,443,5550,5574,1814,7203,792,10951,2059,4035.6517727052,24.8678970373968,"Other"
"23",3185,7747,1040,691,6150,980,8253,2869,2270,13388,746,16789,4439,8462.85740031539,33.2678531200721,"Mixed"
"24",18957,7840,774,911,5704,822,6533,2062,2223,454,677,9084,2103,9102.4160722777,14.8777936281503,"Myocytes"
"25",1595,6414,1105,385,5507,33,14028,1879,1521,3325,902,18321,1149,4517.52480417755,14.6962576153177,"Epithelial cells"
"26",2402,5979,1346,3881,6321,318,8172,3524,1806,17323,737,10827,2796,4409.17668097282,23.2525035765379,"Lymphatic vessel"
"27",3634,8354,2742,946,4823,2236,7912,2935,2338,6227,697,14324,4270,2257.29203747073,29.0833723653396,"Mixed"
"28",1715,6607,1424,732,14002,343,11366,2255,1705,12831,895,16592,2599,4558.51058099269,28.8568680261639,"Mixed"
"29",4263,5769,1446,327,2171,1008,8530,2846,2506,11215,568,17614,2024,3914.94169960474,21.5914031620553,"Mixed"
"30",2658,12780,6494,1279,23657,728,6645,4451,2340,10087,895,11192,3357,725.517724158475,23.7226690497468,"T-cells Mixed"
"31",1833,6282,1803,3477,7694,298,6201,2631,1690,14884,726,9225,2832,7265.5561440678,23.2948446327684,"Lymphatic vessel"
"32",1684,6451,597,373,4569,7,6950,1514,1742,21181,545,15434,1396,9417.32664756447,23.2657593123209,"Mixed"
"33",2562,6884,1156,759,3508,1613,11529,3595,1831,14130,710,18066,4536,7375.98346560847,34.3483245149912,"Mixed"
"34",3800,8126,4513,499,17344,348,8350,2625,2156,9787,592,14993,2238,8410.7363717605,27.5786416443253,"Mixed"
"35",9917,7273,940,487,10096,512,14778,2516,2409,32042,759,20412,5084,8658.52753737215,35.3003540519276,"Mixed"
"36",6547,6716,752,395,9800,1044,5668,7114,1852,7325,761,10051,1646,7701.03705953827,25.7897934386391,"Other"
"37",4740,5932,2576,864,5112,412,7012,3156,2328,6893,733,8405,2350,4004.63446808511,43.356170212766,"Other"
"38",28076,8384,738,699,15594,425,6647,2080,2194,580,596,9321,4336,9016.63837638376,35.3666974169742,"Mixed"
"39",2243,6931,783,607,6051,1224,5954,4144,1828,15717,655,10026,1973,15.9853015712114,45.8484541307653,"Lymphatic vessel"
"40",2417,8880,1547,17941,5944,305,7402,2703,2149,6377,649,14431,4657,2630.44341850977,41.3766373201632,"Mixed"
"41",3157,8906,5124,1240,20102,2781,8773,7777,2369,8423,835,11724,5293,2175.66767428679,51.9743056867561,"Mixed"
"42",33214,7487,935,1934,8966,1125,6610,6980,2190,446,623,8880,3106,8926.81036703155,31.5820991629105,"Myocytes"
"43",3369,7064,3569,969,6439,1358,5365,4634,2037,6056,699,9694,3839,7147.67830164105,52.7746809064861,"Extracellular matrix"
"44",2308,7840,906,293,5224,454,7115,6749,2490,13867,698,15214,3834,624.00991131977,36.5250391236307,"Mixed"
"45",2494,9807,931,354,5337,962,7491,4887,2774,5796,703,11611,3928,2965.616598778,39.1970468431772,"Other"
"46",5009,5975,981,292,8063,869,8106,3205,2349,19149,639,15798,3627,3867.87124345189,44.9556106975462,"Mixed"
"47",4310,8661,1077,318,6544,972,7252,6255,2412,8231,1250,17945,4985,798.747642928786,45.3177532597793,"Mixed"
"48",1891,6225,972,311,10398,121,13938,2640,1810,5803,690,28275,1021,4516.19000979432,45.5171400587659,"Epithelial cells"
"49",1975,7371,681,390,4963,338,6704,1990,1837,20193,831,13850,2806,7320.26158232359,43.0495367070563,"Lymphatic vessel"
"50",4157,6899,731,324,8705,1705,5706,3394,3002,4651,738,9275,3400,7728.81647058824,60.6955882352941,"Extracellular matrix"
"51",2700,9848,1099,396,1169,1327,7001,5026,2839,3764,708,11023,2304,886.564670138889,38.9626736111111,"Other"
"52",2735,8832,1055,35196,6737,58,7481,2286,2121,6058,964,9615,3161,2690.84182220816,45.7788674470104,"T-cells Mixed"
"53",3961,9961,5555,6859,5277,602,9626,2398,3584,11607,771,12433,4197,2409.78008101025,53.2675720752919,"T-cells Mixed"
"54",5538,7062,845,3683,5816,719,11960,2396,3116,18932,785,30321,4141,4481.0243902439,69.6160347742091,"Mixed"
"55",2133,12500,8105,691,16959,836,8948,2914,2152,11555,785,21780,2541,8383.74537583628,54.5332546241637,"Mixed"
"56",13016,11903,2121,23012,8763,1109,6832,2175,3168,462,683,9113,3534,9087.49151103565,56.4272778720996,"Mixed"
"57",10756,7762,1014,2413,5376,734,6240,8492,2226,590,847,8783,3388,8959.85655253837,68.8037190082645,"Myocytes"
"58",14764,6824,829,818,6854,648,5102,1882,1865,401,527,8281,930,8909.91720430107,61.3967741935484,"Myocytes"
"59",2293,7306,1087,1434,8792,1647,5711,9178,2204,6391,707,7977,4324,55.6480111008326,72.0756244218316,"Extracellular matrix"
"60",4441,7226,1760,339,15452,907,7112,2642,2157,10590,688,17404,5585,8339.13536257833,77.2999104744852,"Mixed"
"61",2134,6747,723,722,5426,852,6191,1677,2238,14574,1035,11477,1711,7819.18527177089,53.8322618351841,"Lymphatic vessel"
"62",4031,8727,1020,293,11233,948,6368,3735,3208,3929,808,9592,2697,3049.52651093808,58.7552836484983,"Other"
"63",2945,7059,950,395,14369,1852,5947,5555,1843,401,698,8104,3258,5272.45242480049,64.5632289748312,"Mixed"
"64",3054,6265,1301,786,11726,394,7571,2416,2031,13937,724,11697,2373,4562.32743362832,71.6687737041719,"Lymphatic vessel"
"65",9688,6864,783,349,7474,427,7311,2031,2171,12995,686,12518,4854,3957.42604037907,73.8090234857849,"Myocytes"
"66",3162,7802,853,429,17270,1197,7760,4308,2088,8751,632,17999,4006,713.376684972541,72.2239141288068,"Mixed"
"67",3892,13550,14168,13523,7549,821,7532,3895,2133,14291,772,12869,3556,2458.86811023622,72.9988751406074,"Mixed"
"68",35583,8282,1055,8918,12814,530,5883,5311,1964,3678,1055,8669,2504,8855.54033546326,60.1421725239617,"Mixed"
"69",2634,8728,1694,2441,3668,1102,9924,3713,2254,5443,736,11948,4184,2018.93355640535,66.1565487571702,"Other"
"70",2224,7593,899,408,2604,271,9270,2603,2139,6256,672,18381,5652,585.877565463553,95.9992922859165,"Mixed"
"71",4638,7368,654,546,4326,161,7444,2106,1931,5454,722,18951,2942,642.254928619986,84.6777702243372,"Mixed"
"72",12384,7236,959,444,5956,157,6792,2727,1955,10035,660,12133,4125,8671.6416969697,96.7335757575758,"Myocytes"
"73",3914,7606,1289,374,7764,468,8004,3183,2528,23692,677,15167,4683,8517.40593636558,80.7759982916934,"Mixed"
"74",3544,7709,719,313,1039,1493,8341,3276,2540,4215,695,9909,2629,9214.4944845949,81.4906808672499,"Extracellular matrix"
"75",1874,6373,2052,2592,7335,209,6930,2063,1841,11391,724,9553,2233,7299.05687416032,78.4267801164353,"Other"
"76",2837,8454,933,403,4631,287,11398,6433,2045,7578,696,12850,2141,2296.59037832788,73.2797758056983,"Other"
"77",2399,7997,1053,27877,12511,194,7261,3878,2463,4706,944,9588,2729,2709.35764016123,99.4844265298644,"T-cells Mixed"
"78",2135,12094,8405,1538,9220,1431,11240,5312,2183,4170,700,11450,3238,900.562693020383,89.2109326744904,"Mixed"
"79",3083,6596,1196,368,8330,1955,9200,3338,3542,5092,709,17786,5590,5216.26368515206,96.7644007155635,"Mixed"
"80",5637,7162,1263,377,12391,1057,7490,2524,2878,14253,1024,18406,3813,7791.18777865198,92.3530028848676,"Mixed"
"81",3395,7995,988,15114,8496,160,7521,2775,1984,4261,819,15142,3810,2659.12703412074,107.956430446194,"Mixed"
"82",2512,7172,1712,780,7408,1754,8210,2756,2052,1588,728,10516,4032,7130.51537698413,110.140376984127,"Extracellular matrix"
"83",2109,11646,8642,1358,4597,826,14132,5648,3415,10476,738,26522,2637,855.215017064846,98.9510807736064,"Mixed"
"84",2244,8689,1379,656,4319,1512,22527,27939,2131,6106,852,12783,4235,2274.45548996458,112.711216056671,"Mixed"
"85",3700,11811,9266,650,15773,791,6859,4593,1599,14084,650,13191,3523,3747.00028384899,97.6914561453307,"Mixed"
"86",6834,13550,7102,976,13069,687,6838,8116,2031,19166,690,10246,2104,8884.68155893536,98.8721482889734,"Mixed"
"87",23431,7571,945,429,5997,1274,5968,8268,5754,1034,746,8270,3843,9048.95680457976,102.309653916211,"Mixed"
"88",6281,6805,625,346,8223,1149,5162,4484,1650,5712,955,12077,4347,5314.4819415689,107.508626639061,"Other"
"89",1779,8474,1176,6568,6541,1065,5468,4848,1608,8246,759,11095,2326,4440.45485812554,102.954428202923,"T-cells Mixed"
"90",5494,7826,1566,555,3920,856,9729,2934,2968,14313,674,15060,3036,8613.6627140975,106.319499341238,"Mixed"
"91",5125,16518,11845,1996,18810,997,6325,9227,2093,10965,971,9825,1396,8917.69555873925,105.181948424069,"T-cells Mixed"
"92",4949,6836,925,505,11782,532,7502,1937,2206,8792,659,14758,2158,7823.46292863763,119.374884151993,"Mixed"
"93",3917,6519,1477,1248,4131,899,15251,2249,3863,8680,789,16510,6450,4548.86899224806,129.646821705426,"Epithelial cells"
"94",2293,8456,1669,828,6523,1757,12626,22270,2048,8634,894,18424,4037,2332.3423334159,125.944265543721,"Mixed"
"95",5619,6866,959,552,9688,1172,9417,2925,2293,13378,703,19969,2682,7865.64690529456,117.027218493661,"Mixed"
"96",2232,11182,7449,5348,13028,1117,6477,4645,2111,6911,703,10176,1822,2477.4676180022,111.866081229418,"T-cells Mixed"
