"","cd3","cd4","cd45","cd45ro","collageni","cytokeratin","fibulin2","lyve1","podoplanin","cd38","cd138","actin","total"
"B-cells Plasma",0,0,0,0,0,0,0,0,0,1,1,0,1
"Epithelial cells",0,0,0,0,0,1974,0,0,0,0,162,0,1974
"Extracellular matrix",0,0,0,0,1198,0,657,0,0,0,0,0,1319
"Lymphatic vessel",0,0,0,0,0,0,0,18,195,0,0,0,209
"Mixed",1007,1452,680,1102,2365,655,1626,61,483,475,1450,955,4513
"Myocytes",0,0,0,0,0,0,0,0,0,0,0,467,467
"Other",0,0,0,0,0,0,0,0,0,0,0,0,2409
"T-cells CD4+ (helper)",42,42,42,0,0,0,0,0,0,0,0,0,42
"T-cells Memory",6,0,6,6,0,0,0,0,0,0,0,0,6
"T-cells Mixed",264,378,227,351,0,0,0,0,0,0,0,0,764
"T-cells Naive",30,0,30,0,0,0,0,0,0,0,0,0,30
"Total",1349,1872,985,1459,3563,2629,2283,79,678,476,1613,1422,11734
