Name,Cycle,C,RangeMin,RangeMax,DispRangeMin,DispRangeMax
"DAPI C0",C0,c1,0,65535,794,40521
"AF APC",C0,c4,0,65535,224,7540
"AF FITC",C0,c2,0,65535,2663,53727
"AF PE",C0,c3,0,65535,418,10758
"DAPI C0 background",C0,c1,0,65535,526,28438
"AF APC background",C0,c4,0,65535,138,2717
"AF FITC background",C0,c2,0,65535,503,3583
"DAPI C1",C1,c1,0,65535,732,42426
"CD45 AF647",C1,c4,6411,65535,3518,14823
"Fibulin2 FITC",C1,c2,10782,65535,3815,35311
"DAPI C1 background",C1,c1,0,65535,641,36752
"PE background",C1,c3,0,65535,125,1976
"DAPI C2",C2,c1,0,65535,674,31671
"CD248 REAL1302",C2,c3,0,65535,547,12076
"DAPI C2 background",C2,c1,0,65535,588,27493
"PE background",C2,c3,0,65535,117,1335
"DAPI C3",C3,c1,0,65535,636,24283
"CD38 REAL719",C3,c3,2424,65535,1202,6598
"DAPI C3 background",C3,c1,0,65535,556,21610
"PE background",C3,c3,0,65535,121,1051
"DAPI C4",C4,c1,0,65535,597,19293
"IFN gamma REAL788",C4,c3,0,65535,312,12081
"DAPI C4 background",C4,c1,0,65535,529,16491
"APC background",C4,c4,0,65535,450,6085
"FITC background",C4,c2,0,65535,838,5758
"PE background",C4,c3,0,65535,103,762
"DAPI C5",C5,c1,0,65535,575,15119
"CD279 REA1165",C5,c4,0,65535,75,739
"LYVE 1 REAL1161",C5,c2,5052,65535,4236,6437
"CD79a REA1142",C5,c3,0,65535,298,3354
"DAPI C5 background",C5,c1,0,65535,508,13184
"APC background",C5,c4,0,65535,580,5851
"FITC background",C5,c2,0,65535,3149,16822
"PE background",C5,c3,0,65535,114,747
"DAPI C6",C6,c1,0,65535,564,11845
"BATF REA486",C6,c4,0,65535,0,423
"CD44 REA690",C6,c2,0,65535,5025,9699
"CD4 REA1307",C6,c3,5759,65535,2964,10510
"DAPI C6 background",C6,c1,0,65535,493,10528
"APC background",C6,c4,0,65535,463,5439
"FITC background",C6,c2,0,65535,3482,15080
"DAPI C7",C7,c1,0,65535,546,9636
"CD27 REAL173",C7,c4,0,65535,64,770
"CD138 REA929",C7,c2,14187,65535,13546,14828
"DAPI C7 background",C7,c1,0,65535,482,8582
"APC background",C7,c4,0,65535,807,5478
"FITC background",C7,c2,0,65535,2477,9243
"PE background",C7,c3,0,65535,53,304
"DAPI C8",C8,c1,0,65535,650,29705
"CD206 REAL518",C8,c4,0,65535,0,327
"Cytokeratin REA831",C8,c2,12375,65535,8259,19521
"CD34 REAL1217",C8,c3,0,65535,244,26626
"DAPI C8 background",C8,c1,0,65535,577,26158
"APC background",C8,c4,0,65535,298,2481
"FITC background",C8,c2,0,65535,3130,10814
"PE background",C8,c3,0,65535,101,543
"DAPI C9",C9,c1,0,65535,602,22114
"CD45RO REA611",C9,c4,13020,65535,12978,16518
"beta Tubulin 3 REA1152",C9,c2,0,65535,4688,17921
"Podoplanin REA446",C9,c3,13020,65535,7764,17482
"DAPI C9 background",C9,c1,0,65535,534,19735
"APC background",C9,c4,0,65535,200,3211
"FITC background",C9,c2,0,65535,3481,11488
"PE background",C9,c3,0,65535,112,593
"DAPI C10",C10,c1,0,65535,566,17189
"Ki 67 REA183",C10,c4,0,65535,1,12431
"CD3 REA1151",C10,c2,10153,65535,8926,12151
"HLA DR DP DQ REA332",C10,c3,0,65535,184,8054
"DAPI C10 background",C10,c1,0,65535,507,15131
"APC background",C10,c4,0,65535,454,14400
"FITC background",C10,c2,0,65535,922,2936
"DAPI C11",C11,c1,0,65535,546,13610
"WT1 REAL748",C11,c4,0,65535,4,1624
"Actin REAL650",C11,c2,8561,65535,4348,20112
"DAPI C11 background",C11,c1,0,65535,479,12083
"APC background",C11,c4,0,65535,272,2243
"PE background",C11,c3,0,65535,119,612
"DAPI C12",C12,c1,0,65535,531,10755
"Collagen I REAL958",C12,c4,1336,65535,0,6457
"PDGFRa",C12,c3,0,65535,196,488
"DAPI C12 background",C12,c1,0,65535,464,9368
"APC background",C12,c4,0,65535,437,3777
"FITC background",C12,c2,0,65535,853,2630
"PE background",C12,c3,0,65535,109,536
