"","Name","RangeMin_R1B1ROI1","RangeMax_R1B1ROI1","RangeMin_R1B1ROI2","RangeMax_R1B1ROI2","RangeMin_R1C1ROI1","RangeMax_R1C1ROI1","RangeMin_R1C1ROI2","RangeMax_R1C1ROI2","RangeMin_R1D1ROI1","RangeMax_R1D1ROI1","RangeMin_R1D1ROI2","RangeMax_R1D1ROI2","Mean_Min","SD_Min"
"1","actin",8561,65535,9002,65535,9741,65535,9710,65535,8391,65535,11006,65535,9401.83333333333,966.64397099794
"2","cd138",14187,65535,18005,65535,18005,65535,19901,65535,20579,65535,13762,65535,17406.5,2851.35937756011
"3","cd3",10153,65535,9002,65535,10412,65535,12459,65535,10289,65535,8738,65535,10175.5,1321.1511268587
"4","cd38",2424,65535,1163,65535,1767,65535,2937,65535,1510,5034,976,65535,1796.16666666667,755.247089810127
"5","cd4",5759,65535,3336,65535,6543,65535,6401,65535,3123,65535,2811,65535,4662.16666666667,1750.35361189294
"6","cd45",6411,65535,4008,65535,8550,65535,11143,65535,6288,65535,4700,65535,6850,2627.84619032393
"7","cd45ro",13020,65535,12445,65535,8024,65535,12292,65535,9890,65535,11342,65535,11168.8333333333,1890.62427961419
"8","collageni",1336,65535,2661,65535,3289,65535,5570,65535,1698,65535,4621,65535,3195.83333333333,1653.17747585269
"9","cytokeratin",12375,65535,9435,65535,12316,65535,9126,65535,9090,65535,20293,65535,12105.8333333333,4295.44705085125
"10","fibulin2",10782,65535,9669,65535,16447,65535,20009,65535,18762,65535,24307,65535,16662.6666666667,5613.93098164438
"11","lyve1",5052,65535,4120,65535,8856,65535,6276,65535,3897,65535,3715,65535,5319.33333333333,1976.36066209249
"12","podoplanin",13020,65535,10745,65535,8096,65535,6192,65535,13486,65535,12602,65535,10690.1666666667,2961.96302587771
