 ,Area,Mean,Min,Max
1,22.976,1646.078,1243,2267
2,78.926,1656.374,1174,2400
3,84.128,1554.762,1176,1913
4,49.939,1681.751,1302,2483
5,93.925,1766.285,1181,2658
6,59.129,2027.000,1596,4271
7,103.809,1983.793,1452,2704
8,31.617,2216.383,1666,2880
9,120.108,2117.526,1603,3634
10,80.024,1879.781,1500,2895
11,83.983,1330.152,990,1720
12,56.297,1589.081,955,4263
13,57.020,1667.264,1070,4062
14,57.251,1370.607,1000,1944
15,29.969,1333.524,1033,1616
16,78.001,1396.758,1066,2402
17,65.834,1416.548,1156,2300
18,31.357,1391.009,1162,1595
19,72.221,1418.590,1143,1715
20,106.988,1376.139,1072,1773
21,96.873,1443.490,1092,2439
22,96.237,1669.417,1302,2781
23,72.163,1500.730,1201,1965
24,79.186,1495.226,1194,1833
25,127.854,1659.346,1238,2562
26,46.038,2534.950,1376,6547
27,45.200,1668.350,1369,2629
28,67.742,1647.090,1252,2264
29,62.135,1742.165,1221,3800
30,124.617,1704.416,1281,3185
31,143.315,1824.589,1337,7356
32,91.035,1664.466,1236,1936
33,34.767,1815.560,1493,2522
34,122.305,2572.440,1060,28076
35,58.089,4528.281,1442,18957
36,130.050,1600.189,835,2266
37,38.004,1456.209,1080,1684
38,131.235,1891.111,1294,2417
39,86.122,8125.821,1635,31565
40,107.479,1741.501,1320,2308
41,110.600,1817.586,1485,2494
42,101.873,1428.759,1014,5009
43,149.586,2068.909,1539,3054
44,65.603,1418.098,1032,4740
45,140.685,2064.833,1453,4310
46,78.232,1556.381,1235,1975
47,54.910,1668.532,1356,2243
48,64.303,1801.915,1328,2700
49,88.550,1905.265,1435,2515
50,118.346,1938.127,1553,3961
51,107.913,1686.988,1219,3369
52,71.210,1680.836,1272,2133
53,95.226,1837.477,1292,4157
54,99.185,2424.486,984,13016
55,121.958,1504.630,1056,2293
56,157.447,1855.818,1303,4441
57,27.773,1446.960,1131,1891
58,47.223,1626.580,1352,2015
59,75.574,2042.218,1464,4031
60,116.380,1449.761,1037,5538
61,91.555,1554.843,1187,2740
62,94.821,2406.399,1014,10756
63,100.081,1941.118,1565,3892
64,70.054,5904.021,1785,35583
65,117.883,1896.593,1569,2634
66,136.697,1505.954,1046,9688
67,132.160,1791.420,1309,3914
68,159.933,1663.451,1297,2224
69,112.623,1816.523,1249,3162
70,25.172,3994.511,1754,14764
71,62.222,1475.860,1145,1874
72,59.563,1996.136,1656,2837
73,73.435,1705.017,960,3544
74,65.834,1536.947,1153,3054
75,157.881,1452.957,1152,3083
76,90.688,1743.927,1371,2135
77,82.163,1782.030,1403,4638
78,107.450,1861.171,1245,5637
79,116.034,1947.349,1350,12384
80,73.666,1740.044,1385,2109
81,99.272,1513.603,929,3700
82,119.097,1868.140,1555,2244
83,108.317,4513.120,1074,23431
84,106.959,1836.360,1518,3395
85,76.152,1908.140,1452,2399
86,58.436,1971.847,1237,6834
87,113.317,1549.438,1195,2512
88,122.507,1702.184,1082,6281
89,65.198,1415.270,1079,1779
90,85.139,1829.362,1115,5494
91,38.755,2193.685,1374,5125
92,59.361,1768.319,1299,4949
93,113.172,1863.161,1567,2293
94,74.562,2083.110,1396,5619
95,120.224,1469.845,1000,4334
96,80.284,1513.916,1165,2756
97,50.546,1871.967,1475,2232
98,182.504,1419.375,978,3917
99,74.707,1485.018,1176,1927
100,82.596,1613.295,1204,3143
101,99.647,1757.901,1295,3307
102,202.762,1827.358,1492,2332
103,69.505,1959.261,1598,2429
104,95.312,1661.681,1350,1976
105,65.603,1896.395,1318,5183
106,110.369,2605.966,1334,4701
107,108.953,1507.931,1160,2440
108,114.242,1494.822,1142,1823
109,128.085,1773.332,1240,3033
110,53.841,1816.626,1058,5015
111,142.275,1725.217,1229,3781
112,139.500,1866.288,1278,4912
113,81.527,1781.525,1273,5995
114,97.884,1565.714,1209,2409
115,113.577,1687.632,1357,2027
116,99.387,1882.487,1543,2333
117,81.787,1699.140,1448,2423
118,73.406,1723.334,1356,2448
119,73.579,4946.436,1743,10501
120,66.470,1329.281,989,1799
121,66.297,1958.651,1379,3678
122,99.214,1786.198,1061,6331
123,80.804,3573.070,1337,19603
124,41.558,1499.755,1217,2050
125,89.388,1830.660,1500,2120
126,132.824,1339.197,933,3672
127,111.988,1761.682,1462,2615
128,118.981,1740.694,1373,2884
129,150.511,1561.908,1132,2593
130,83.088,4056.931,1523,38283
131,91.642,2038.312,1538,3079
132,127.362,1501.592,1182,2519
133,150.396,2927.577,1549,17375
134,89.041,1708.834,1318,2188
135,52.107,1763.181,1351,2164
136,115.571,3304.947,1471,9512
137,130.223,8089.701,1947,34467
138,105.919,1407.068,1071,5572
139,100.312,2009.833,1449,4217
140,79.273,1543.403,960,5135
141,109.358,1487.135,1154,1845
142,122.536,1951.655,1473,4121
143,111.930,1421.981,1084,2701
144,107.132,2176.511,1405,5755
145,66.875,1617.481,1146,2311
146,122.565,1366.283,317,2336
147,89.041,1908.233,1501,2518
148,129.154,4628.762,1609,16894
149,93.174,1838.840,1264,4616
150,112.016,1612.372,1084,3858
151,128.634,1714.659,1099,4009
152,86.758,1494.612,1161,1721
153,94.879,1568.812,1303,3052
154,128.287,1604.820,1093,7386
155,101.034,1717.702,1241,3719
156,77.047,1720.794,1332,2326
157,50.113,1637.341,1288,2190
158,71.932,1641.312,1247,2239
159,55.199,1526.479,865,2239
160,98.116,1852.243,1474,2237
161,66.297,1600.495,1111,2523
162,120.224,1454.286,1028,1980
163,150.800,1713.525,1302,2349
164,96.382,1794.072,1328,6186
165,179.960,1665.776,1348,1959
166,61.384,8271.388,1695,37110
167,65.054,2048.135,1552,3356
168,71.383,1728.003,964,6330
169,76.585,1676.750,1031,5239
170,114.415,1647.425,1319,6245
171,89.966,3974.562,1651,20422
172,59.736,1870.921,1545,2196
173,114.300,2507.586,1275,10646
174,42.772,1889.241,1614,2192
175,100.890,1970.746,1574,2851
176,63.898,1340.061,1109,1652
177,65.690,1691.714,1310,2133
178,70.892,1874.516,1613,2231
179,56.615,1455.055,1148,1951
180,102.046,1827.568,1255,3051
181,91.671,1773.113,1319,2292
182,71.441,1524.997,1074,2075
183,107.075,1447.362,1178,1790
184,69.620,1486.670,1186,1912
185,95.023,1432.484,1083,1711
186,32.484,1413.744,1065,1945
187,84.822,1493.407,1090,5351
188,74.244,1423.101,1207,1703
189,128.258,4483.790,1824,28535
190,97.827,1733.285,1089,2440
191,245.881,1803.934,1484,2695
192,145.338,1672.804,1211,3068
193,77.741,1434.002,814,3251
194,141.552,1602.009,1223,1952
195,84.793,1677.178,1314,2051
196,169.845,5288.337,1678,19673
197,119.935,1834.177,1359,2617
198,55.777,1750.944,1288,3176
199,34.709,1397.933,1127,1695
200,104.791,1836.867,1412,6910
201,78.666,1460.680,956,3889
202,26.155,2402.685,1417,5344
203,120.947,1625.155,1250,2106
204,124.588,1884.875,1569,2682
205,80.169,1448.541,1055,2936
206,79.620,1975.903,1299,5001
207,111.670,1437.384,1125,1719
208,144.067,1614.172,1164,5395
209,131.466,1646.176,1235,3862
210,63.551,2429.757,1609,7003
211,109.069,1429.091,1052,4582
212,41.443,1488.824,1186,1715
213,82.972,1734.577,1412,2146
214,81.989,1507.599,1153,1989
215,118.143,2715.229,1129,8764
216,70.516,1733.439,1212,2262
217,121.236,1423.812,1148,1748
218,80.949,1414.935,1126,1756
219,142.159,2269.038,1646,3765
220,135.397,5656.422,1355,26799
221,83.203,1682.134,1285,2122
222,100.370,1955.619,1540,3768
223,124.501,3068.609,1579,10603
224,79.042,1500.440,1070,3239
225,68.955,1514.047,1099,1870
226,92.942,1447.016,1129,1833
227,115.195,1711.079,1343,2236
228,123.576,1856.164,1500,2213
229,128.721,5556.393,1805,33263
230,164.412,1864.127,1024,8818
231,104.734,1930.669,1570,2673
232,95.023,1509.688,1239,3755
233,136.090,1480.408,1222,1913
234,104.069,1722.009,1390,2013
235,44.477,1708.930,1200,2339
236,151.638,1656.333,1329,2373
237,74.822,1981.384,1249,5575
238,99.156,1725.211,1317,2227
239,30.865,1756.288,1366,2341
240,114.878,1723.700,1384,2254
241,91.844,1735.526,1338,2610
242,74.186,1440.933,1125,1901
243,92.220,1710.049,1281,2230
244,85.457,1626.981,1275,3222
245,82.914,1474.174,855,3113
246,79.417,1772.943,1410,3299
247,122.160,1276.756,765,1683
248,48.205,1933.860,1255,3934
249,45.922,1764.203,1209,2464
250,99.503,1715.220,1354,2938
251,93.087,2239.966,1574,8011
252,46.356,1479.950,1014,2952
253,141.783,1385.141,1093,1724
254,81.093,1438.785,1173,4679
255,97.769,1480.830,1168,2706
256,61.557,1677.578,1271,3805
257,53.205,1625.193,1143,5501
258,115.629,1438.678,1081,5207
259,100.659,1520.314,1175,3523
260,131.611,1334.808,1073,2644
261,67.799,1535.382,1198,3082
262,87.076,1555.286,1116,2589
263,155.973,1764.772,1291,6408
264,78.059,1384.845,1100,1985
265,109.762,1901.033,1562,2305
266,103.318,5092.023,1829,11487
267,124.415,1584.873,1035,5071
268,151.638,1492.317,1049,5137
269,113.115,1492.857,1130,2925
270,86.758,1413.130,1169,2092
271,65.054,1468.423,978,2344
272,87.683,1663.056,1289,2214
273,132.015,1529.589,1125,4973
274,72.221,1399.470,1143,1788
275,215.739,1539.871,1173,2053
276,132.478,1349.560,1061,1960
277,120.369,1685.978,1341,2010
278,93.434,1735.573,1288,2662
279,120.831,1542.034,1169,3165
280,128.836,1671.695,1276,2414
281,97.769,1464.294,1182,4152
282,149.818,1471.739,1014,5433
283,134.905,1897.120,1561,2210
284,114.155,1498.495,1145,3126
285,189.266,1590.326,1149,5490
286,120.137,1453.124,1057,1887
287,162.736,5443.973,1890,10627
288,163.487,1445.954,1053,1958
289,86.209,1608.744,1257,2780
290,147.332,1474.913,1217,1971
291,105.485,1530.004,1129,3761
292,120.022,2133.141,1316,12967
293,79.706,1651.697,1281,2013
294,155.973,1859.209,1174,3580
295,103.086,1614.108,1171,3004
296,78.521,1889.643,1576,2197
297,212.184,1319.214,1051,1574
298,58.060,1692.747,1389,2240
299,116.756,1981.641,1538,3836
300,64.967,1490.162,883,2289
301,64.447,1454.913,1137,2699
302,77.308,1477.379,1103,2611
303,51.933,1639.136,1185,3675
304,79.880,1354.149,1073,2132
305,131.004,1912.941,1524,2363
306,50.662,1753.254,1087,3918
307,114.646,1404.309,1143,1832
308,98.520,1425.452,1141,1897
309,131.611,1662.843,1116,4092
310,162.042,2073.785,1605,3652
311,33.784,1662.497,1170,2993
312,153.228,1412.338,1039,4200
313,68.464,1850.119,968,4257
314,129.848,1467.139,1165,5445
315,107.884,1530.985,1043,4192
316,47.309,1659.001,1243,2098
317,144.067,1666.522,1325,4777
318,138.980,1498.435,1128,3663
319,46.413,1517.846,861,2893
320,134.327,1426.275,984,2147
321,175.568,2027.453,1516,4710
322,82.192,1846.333,1240,5958
323,85.891,1539.879,1118,3657
324,70.227,1644.778,1267,2674
325,112.681,1365.923,801,2304
326,51.702,1524.299,1055,4971
327,126.553,1718.474,1330,2431
328,99.965,1749.692,1202,2873
329,146.668,1575.286,1174,3697
330,118.346,1296.622,974,3069
331,103.693,1675.651,820,2414
332,129.414,1339.915,1074,1692
333,101.063,1430.279,1164,2645
334,89.561,1726.154,1171,5130
335,112.248,1517.169,1120,2977
