 ,Area,Mean,Min,Max
1,22.976,2199.893,164,4858
2,78.926,3237.974,0,15970
3,84.128,2667.871,0,9727
4,49.939,2173.953,93,5619
5,93.925,6161.185,84,23657
6,59.129,1240.352,0,4610
7,103.809,2204.676,0,7326
8,31.617,2226.460,315,5552
9,120.108,1285.394,8,4823
10,80.024,3887.458,127,11522
11,83.983,1194.467,0,4351
12,56.297,693.095,27,2171
13,57.020,3341.513,84,10486
14,57.251,3210.462,0,7215
15,29.969,2818.365,35,7068
16,78.001,1504.016,0,6321
17,65.834,2980.273,113,6059
18,31.357,3108.262,574,4964
19,72.221,5018.718,336,14002
20,106.988,2095.159,0,7745
21,96.873,2978.695,0,11815
22,96.237,1649.669,17,12354
23,72.163,3487.656,86,15618
24,79.186,2026.593,67,7694
25,127.854,969.964,1,3508
26,46.038,1728.233,0,9800
27,45.200,2798.376,37,7359
28,67.742,1359.825,0,5619
29,62.135,3065.182,51,17344
30,124.617,1690.032,19,6150
31,143.315,1633.527,0,10096
32,91.035,1190.505,28,5064
33,34.767,3614.213,138,14772
34,122.305,2848.690,94,15594
35,58.089,1958.719,46,5704
36,130.050,3873.596,33,17160
37,38.004,762.412,0,4460
38,131.235,2229.721,53,5944
39,86.122,2042.255,61,8966
40,107.479,1489.266,0,5224
41,110.600,1513.403,0,5337
42,101.873,1728.048,0,8063
43,149.586,4553.587,23,20102
44,65.603,1099.931,0,5112
45,140.685,984.028,0,6544
46,78.232,1289.447,34,4963
47,54.910,2878.244,327,5654
48,64.303,147.217,0,1169
49,88.550,1941.954,0,6737
50,118.346,1584.464,0,5277
51,107.913,2561.573,45,6439
52,71.210,4688.653,157,16959
53,95.226,1256.247,0,8705
54,99.185,1226.444,0,8763
55,121.958,1645.373,0,8792
56,157.447,3056.555,0,15452
57,27.773,5030.542,830,9425
58,47.223,1757.121,0,5426
59,75.574,1150.112,0,11233
60,116.380,1248.679,0,5816
61,91.555,2062.096,0,14369
62,94.821,2168.318,116,5376
63,100.081,2726.327,107,7549
64,70.054,1452.849,24,12814
65,117.883,860.401,0,3668
66,136.697,1288.984,0,7474
67,132.160,1398.906,0,7764
68,159.933,565.998,0,2520
69,112.623,3117.001,0,17270
70,25.172,2185.580,190,6854
71,62.222,1958.853,55,7335
72,59.563,1093.310,39,4631
