 ,Area,Mean,Min,Max
1,22.976,426.063,205,680
2,78.926,957.219,159,3287
3,84.128,1213.156,75,5341
4,49.939,436.229,143,1108
5,93.925,1599.818,138,6494
6,59.129,367.052,13,915
7,103.809,679.388,120,3464
8,31.617,507.459,186,1313
9,120.108,473.173,9,2742
10,80.024,2026.493,262,7424
11,83.983,328.960,23,1026
12,56.297,446.449,100,1446
13,57.020,1638.586,104,7950
14,57.251,1516.509,121,5548
15,29.969,1459.946,46,4806
16,78.001,416.070,25,1346
17,65.834,699.122,133,1341
18,31.357,689.721,363,1105
19,72.221,685.108,234,1424
20,106.988,372.500,0,1417
21,96.873,375.533,0,824
22,96.237,399.219,82,1179
23,72.163,492.672,139,1184
24,79.186,548.354,93,1803
25,127.854,460.338,93,1156
26,46.038,333.799,45,752
27,45.200,426.918,106,990
28,67.742,422.279,59,1073
29,62.135,496.098,157,3991
30,124.617,433.043,68,1040
31,143.315,363.587,18,940
32,91.035,610.820,186,1269
33,34.767,1384.948,160,4080
34,122.305,330.970,80,738
35,58.089,381.855,97,774
36,130.050,625.812,20,4750
37,38.004,252.205,0,597
38,131.235,463.447,87,1547
39,86.122,416.261,94,935
40,107.479,419.077,73,906
41,110.600,362.016,47,931
42,101.873,400.118,25,981
43,149.586,831.680,155,5124
44,65.603,640.023,50,2576
45,140.685,441.537,59,1077
46,78.232,362.161,79,681
47,54.910,438.516,193,783
48,64.303,354.601,47,1099
49,88.550,430.193,19,993
50,118.346,514.567,48,4291
51,107.913,577.841,105,3569
52,71.210,1978.016,141,8105
53,95.226,312.722,0,731
54,99.185,621.443,0,2121
55,121.958,485.776,21,1087
56,157.447,447.806,0,1309
57,27.773,492.538,204,972
58,47.223,327.276,0,723
59,75.574,375.490,67,1020
60,116.380,372.511,50,842
61,91.555,358.536,0,950
62,94.821,537.092,59,1014
63,100.081,2768.128,265,14168
64,70.054,544.774,111,1055
65,117.883,588.835,99,1671
66,136.697,343.419,45,783
67,132.160,388.945,68,1289
68,159.933,294.568,0,899
69,112.623,361.858,63,853
70,25.172,399.255,154,829
71,62.222,528.005,83,2052
72,59.563,436.779,172,905
73,73.435,266.271,5,719
74,65.834,512.579,0,1301
75,157.881,469.188,41,1196
76,90.688,2241.781,115,8405
77,82.163,306.529,6,654
78,107.450,337.761,43,1263
79,116.034,372.833,0,959
80,73.666,857.860,108,8642
81,99.272,1588.879,96,9266
82,119.097,614.753,174,1325
83,108.317,359.599,41,945
84,106.959,369.816,36,988
85,76.152,489.621,159,1053
86,58.436,1345.583,140,7102
87,113.317,495.740,91,1712
88,122.507,304.607,50,625
89,65.198,426.412,80,1176
90,85.139,369.275,0,1566
91,38.755,3051.887,218,11845
92,59.361,357.958,75,925
93,113.172,698.193,32,1669
94,74.562,412.375,130,959
95,120.224,562.374,59,1540
96,80.284,688.465,174,1611
97,50.546,1512.457,107,6849
98,182.504,554.319,69,1477
99,74.707,287.124,47,675
100,82.596,592.803,163,1805
101,99.647,305.111,1,1303
102,202.762,433.952,0,1843
103,69.505,750.628,0,1488
104,95.312,447.611,46,1372
105,65.603,389.687,85,1080
106,110.369,447.536,125,1063
107,108.953,398.023,47,1021
108,114.242,405.392,84,1106
109,128.085,321.271,64,716
110,53.841,398.405,101,972
111,142.275,340.639,3,1235
112,139.500,336.518,32,785
113,81.527,2311.161,148,9268
114,97.884,355.084,68,983
115,113.577,1796.003,94,9792
116,99.387,447.323,0,1799
117,81.787,322.556,47,925
118,73.406,315.070,0,814
119,73.579,400.744,25,1040
120,66.470,460.158,24,1056
121,66.297,384.740,76,867
122,99.214,375.950,61,983
123,80.804,339.662,49,981
124,41.558,290.778,0,693
125,89.388,1558.831,68,8022
126,132.824,331.733,0,1086
127,111.988,290.576,74,837
128,118.981,511.772,124,1465
129,150.511,460.738,46,1595
130,83.088,419.651,118,813
131,91.642,386.727,89,1109
132,127.362,551.194,0,1180
133,150.396,1634.142,193,5717
134,89.041,414.042,65,1399
135,52.107,719.480,210,2173
136,115.571,450.033,185,1109
137,130.223,413.701,20,1071
138,105.919,357.244,35,1195
139,100.312,466.830,73,1648
140,79.273,574.434,85,3838
141,109.358,707.565,99,3705
142,122.536,752.075,117,4988
143,111.930,429.114,93,991
144,107.132,411.724,114,848
145,66.875,366.749,0,889
146,122.565,375.210,0,838
147,89.041,1132.814,290,3344
148,129.154,373.783,0,1148
149,93.174,329.364,25,785
150,112.016,384.015,0,930
151,128.634,295.189,53,664
152,86.758,395.344,66,887
153,94.879,480.500,24,1598
154,128.287,681.458,64,2093
155,101.034,420.016,109,1153
156,77.047,691.375,135,3551
157,50.113,399.987,57,1280
158,71.932,533.236,84,1580
