 ,Area,Mean,Min,Max
1,22.976,61.350,0,1263
2,78.926,664.774,0,2415
3,84.128,120.624,0,1145
4,49.939,40.837,0,1564
5,93.925,19.715,0,677
6,59.129,0.151,0,33
7,103.809,1.276,0,143
8,31.617,19.742,0,480
9,120.108,74.417,0,2236
10,80.024,18.269,0,267
11,83.983,42.173,0,759
12,56.297,49.353,0,1008
13,57.020,103.200,0,938
14,57.251,5.652,0,443
15,29.969,5.826,0,356
16,78.001,8.375,0,318
17,65.834,6.366,0,326
18,31.357,0.106,0,33
19,72.221,6.158,0,329
20,106.988,0.563,0,100
21,96.873,54.472,0,564
22,96.237,253.539,0,1273
23,72.163,50.396,0,1210
24,79.186,9.066,0,298
25,127.854,114.489,0,1613
26,46.038,79.148,0,1044
27,45.200,467.494,0,1579
28,67.742,2.720,0,193
29,62.135,8.512,0,348
30,124.617,20.927,0,803
31,143.315,8.349,0,512
32,91.035,0.000,0,0
33,34.767,331.506,0,1441
34,122.305,3.016,0,425
35,58.089,224.145,0,822
36,130.050,53.363,0,975
37,38.004,0.005,0,7
38,131.235,7.156,0,305
39,86.122,89.593,0,1125
40,107.479,36.912,0,454
41,110.600,49.665,0,962
42,101.873,91.141,0,869
43,149.586,158.621,0,2545
44,65.603,18.332,0,412
45,140.685,117.189,0,972
46,78.232,16.928,0,338
47,54.910,375.679,0,1224
48,64.303,278.110,0,1327
49,88.550,0.198,0,58
50,118.346,31.486,0,602
51,107.913,100.801,0,1358
52,71.210,70.250,0,836
53,95.226,191.256,0,1705
54,99.185,52.786,0,1019
55,121.958,169.691,0,1647
56,157.447,47.106,0,907
57,27.773,2.046,0,121
58,47.223,24.047,0,705
59,75.574,53.520,0,767
60,116.380,21.766,0,719
61,91.555,476.522,0,1807
62,94.821,33.514,0,715
63,100.081,60.902,0,799
64,70.054,35.213,0,530
65,117.883,225.150,0,1066
66,136.697,24.952,0,427
67,132.160,5.821,0,468
68,159.933,9.148,0,271
69,112.623,44.872,0,1197
70,25.172,20.847,0,569
71,62.222,1.686,0,209
72,59.563,7.761,0,287
73,73.435,179.135,0,1449
74,65.834,32.266,0,394
75,157.881,156.024,0,1955
76,90.688,176.942,0,1431
77,82.163,0.637,0,161
78,107.450,43.401,0,1057
79,116.034,2.960,0,157
80,73.666,18.355,0,715
81,99.272,18.846,0,791
82,119.097,84.450,0,1512
83,108.317,104.608,0,1274
84,106.959,1.310,0,160
85,76.152,5.283,0,194
86,58.436,69.106,0,687
87,113.317,200.878,0,1754
88,122.507,65.770,0,1149
89,65.198,61.417,0,1065
90,85.139,66.759,0,856
91,38.755,167.172,0,997
92,59.361,9.424,0,532
93,113.172,148.487,0,1757
94,74.562,51.784,0,1172
95,120.224,15.669,0,721
96,80.284,69.215,0,1042
97,50.546,60.592,0,1117
98,182.504,30.054,0,899
99,74.707,87.642,0,1639
100,82.596,6.872,0,378
101,99.647,190.347,0,1805
102,202.762,223.583,0,2901
103,69.505,64.945,0,1013
104,95.312,171.241,0,1734
105,65.603,48.799,0,538
106,110.369,1366.981,552,2870
107,108.953,8.721,0,249
108,114.242,96.170,0,774
109,128.085,2.039,0,185
110,53.841,53.128,0,441
111,142.275,35.340,0,501
112,139.500,0.789,0,163
113,81.527,135.749,0,1252
114,97.884,54.546,0,845
115,113.577,205.950,0,1540
116,99.387,55.321,0,1130
117,81.787,22.022,0,476
118,73.406,0.483,0,139
119,73.579,588.613,0,1869
120,66.470,111.081,0,1456
121,66.297,69.283,0,878
122,99.214,22.996,0,534
123,80.804,155.991,0,959
124,41.558,0.150,0,30
125,89.388,16.891,0,796
126,132.824,105.158,0,1020
127,111.988,6.148,0,190
128,118.981,108.489,0,879
129,150.511,7.933,0,324
130,83.088,207.183,0,826
131,91.642,273.862,0,1987
132,127.362,14.012,0,799
133,150.396,279.273,0,1959
134,89.041,29.120,0,606
135,52.107,300.800,0,1034
136,115.571,381.052,0,2413
137,130.223,126.117,0,889
138,105.919,5.808,0,354
139,100.312,248.426,0,1489
140,79.273,123.699,0,1701
141,109.358,646.431,0,3192
142,122.536,383.056,0,1823
143,111.930,0.431,0,78
144,107.132,821.615,0,1941
145,66.875,437.312,0,1677
146,122.565,30.586,0,647
147,89.041,269.840,0,3021
148,129.154,266.315,0,1717
149,93.174,0.940,0,176
150,112.016,0.626,0,192
151,128.634,22.341,0,483
152,86.758,0.096,0,76
153,94.879,25.447,0,781
154,128.287,147.378,0,1715
155,101.034,79.096,0,752
156,77.047,169.360,0,1691
157,50.113,272.029,0,1483
158,71.932,273.614,0,1706
159,55.199,123.901,0,1418
160,98.116,421.149,0,1993
161,66.297,234.568,0,1174
162,120.224,3.961,0,245
163,150.800,89.276,0,1098
164,96.382,147.629,0,1333
165,179.960,9.238,0,719
166,61.384,47.284,0,599
167,65.054,253.749,0,1085
168,71.383,126.046,0,1487
169,76.585,49.153,0,484
170,114.415,12.405,0,506
171,89.966,9.642,0,434
172,59.736,1119.839,0,5930
173,114.300,49.037,0,1177
174,42.772,659.435,0,6382
175,100.890,102.959,0,1558
176,63.898,1.473,0,142
177,65.690,84.306,0,724
178,70.892,24.057,0,1547
179,56.615,3.258,0,249
180,102.046,85.753,0,970
181,91.671,329.544,0,1276
182,71.441,1502.803,0,3185
183,107.075,0.004,0,9
184,69.620,566.143,0,2679
185,95.023,74.832,0,2171
186,32.484,4.623,0,182
187,84.822,1.284,0,252
188,74.244,8.143,0,384
189,128.258,160.730,0,1580
190,97.827,143.248,0,1321
191,245.881,151.359,0,4864
192,145.338,179.480,0,2728
193,77.741,9.956,0,271
194,141.552,49.399,0,1286
195,84.793,0.000,0,0
196,169.845,480.612,0,2197
197,119.935,210.880,0,2198
198,55.777,15.876,0,572
199,34.709,10.055,0,266
200,104.791,55.200,0,1005
201,78.666,27.676,0,530
202,26.155,59.509,0,580
203,120.947,50.597,0,700
204,124.588,112.136,0,1062
205,80.169,47.185,0,452
206,79.620,1.851,0,166
207,111.670,0.000,0,0
208,144.067,15.353,0,459
209,131.466,48.554,0,827
210,63.551,87.099,0,1254
211,109.069,45.219,0,1151
212,41.443,0.562,0,127
213,82.972,19.638,0,538
214,81.989,62.416,0,797
215,118.143,432.534,0,2382
216,70.516,53.882,0,569
217,121.236,1.250,0,221
218,80.949,7.624,0,463
219,142.159,701.472,0,4459
220,135.397,396.205,0,1874
221,83.203,314.092,0,1860
222,100.370,214.585,0,1761
223,124.501,474.063,0,1957
224,79.042,87.291,0,776
225,68.955,11.465,0,721
226,92.942,2.998,0,173
227,115.195,807.518,44,2366
228,123.576,1147.174,0,4642
229,128.721,52.646,0,926
230,164.412,0.421,0,96
231,104.734,33.531,0,934
232,95.023,8.392,0,455
233,136.090,29.961,0,659
234,104.069,269.390,0,1749
235,44.477,53.978,0,871
236,151.638,5.527,0,215
237,74.822,146.312,0,1372
238,99.156,2.808,0,198
239,30.865,313.315,0,1174
240,114.878,2.371,0,164
241,91.844,228.492,0,1176
242,74.186,15.636,0,439
243,92.220,53.594,0,1466
244,85.457,58.469,0,707
245,82.914,16.861,0,298
246,79.417,4.707,0,200
247,122.160,24.262,0,332
248,48.205,148.695,0,1220
249,45.922,163.431,0,1217
250,99.503,5.379,0,1273
251,93.087,49.016,0,989
252,46.356,112.875,0,862
253,141.783,6.182,0,289
254,81.093,3.572,0,311
255,97.769,32.888,0,741
256,61.557,12.458,0,340
257,53.205,11.869,0,272
258,115.629,13.796,0,368
259,100.659,65.958,0,831
260,131.611,49.850,0,953
261,67.799,35.408,0,968
262,87.076,19.001,0,490
263,155.973,178.403,0,1304
264,78.059,0.447,0,120
265,109.762,797.781,0,2874
266,103.318,694.811,0,1700
267,124.415,8.758,0,237
268,151.638,4.811,0,250
269,113.115,7.450,0,330
270,86.758,7.474,0,220
271,65.054,52.107,0,523
272,87.683,0.140,0,71
273,132.015,28.399,0,675
274,72.221,57.045,0,560
275,215.739,9.701,0,1106
276,132.478,15.952,0,767
277,120.369,1.471,0,182
278,93.434,5.983,0,289
279,120.831,38.003,0,907
280,128.836,0.371,0,75
281,97.769,46.845,0,788
282,149.818,210.567,0,2888
283,134.905,768.604,0,5246
284,114.155,10.651,0,219
285,189.266,7.942,0,605
286,120.137,82.085,0,1078
287,162.736,142.154,0,1124
288,163.487,1.356,0,246
289,86.209,2.583,0,271
290,147.332,129.335,0,1203
291,105.485,66.464,0,835
292,120.022,645.754,0,1939
293,79.706,21.431,0,662
294,155.973,4.822,0,329
295,103.086,124.918,0,900
296,78.521,1705.637,0,5829
297,212.184,3.378,0,615
298,58.060,19.336,0,362
299,116.756,223.629,0,3022
300,64.967,91.352,0,1241
301,64.447,24.245,0,575
302,77.308,45.721,0,942
303,51.933,59.335,0,794
304,79.880,102.364,0,1472
305,131.004,204.299,0,1117
306,50.662,11.954,0,324
307,114.646,1.051,0,138
308,98.520,185.746,0,1611
309,131.611,236.682,0,1831
310,162.042,844.999,0,2625
311,33.784,9.796,0,188
312,153.228,19.201,0,521
313,68.464,99.234,0,696
314,129.848,6.589,0,544
315,107.884,8.791,0,273
316,47.309,13.792,0,329
317,144.067,32.567,0,1304
318,138.980,16.892,0,387
319,46.413,7.617,0,243
320,134.327,3.082,0,195
321,175.568,229.116,0,1996
322,82.192,18.519,0,687
323,85.891,115.912,0,1328
324,70.227,71.576,0,718
325,112.681,15.192,0,423
326,51.702,242.039,0,1265
327,126.553,5.835,0,210
328,99.965,165.414,0,1279
329,146.668,147.484,0,885
330,118.346,17.669,0,582
331,103.693,32.598,0,478
332,129.414,61.678,0,765
333,101.063,2.472,0,165
334,89.561,7.088,0,263
335,112.248,28.158,0,401
336,73.724,26.593,0,705
337,182.128,0.030,0,45
338,137.333,11.580,0,254
339,89.966,39.914,0,892
340,103.838,285.745,0,2123
341,90.573,17.327,0,425
342,110.629,4.421,0,236
343,76.961,153.909,0,1203
344,43.581,63.359,0,490
345,151.812,165.047,0,1419
346,111.785,17.608,0,1034
347,103.375,29.248,0,554
348,96.266,2.415,0,192
349,76.816,168.396,0,1345
350,82.943,97.161,0,830
351,113.028,20.710,0,462
352,108.115,11.174,0,306
353,54.794,43.443,0,519
354,84.301,19.984,0,449
355,155.598,1.697,0,243
356,61.384,40.991,0,577
357,66.557,13.643,0,348
358,136.899,128.497,0,1285
359,33.206,32.601,0,640
360,85.775,15.100,0,335
361,120.311,2.380,0,202
362,127.420,21.628,0,529
363,171.666,3.976,0,426
364,113.433,44.671,0,949
365,73.319,3.834,0,254
366,101.121,226.183,0,1869
367,78.001,7.211,0,327
368,157.245,0.848,0,186
369,96.410,57.731,0,675
370,75.169,217.640,0,2022
371,113.490,95.568,0,917
372,128.489,134.871,0,1236
373,67.019,112.764,0,863
374,154.817,18.357,0,350
375,104.647,2.490,0,288
376,94.185,746.416,96,3974
377,73.088,54.114,0,950
378,63.696,12.265,0,276
379,87.307,0.935,0,91
380,78.666,411.501,0,1485
381,106.959,24.890,0,382
382,66.557,145.438,0,1217
383,83.694,40.917,0,390
384,82.712,60.791,0,714
385,49.014,10.968,0,331
386,170.510,24.108,0,709
387,158.979,883.334,0,3819
388,140.454,3.792,0,687
389,24.652,4.467,0,272
390,57.453,102.971,0,1032
391,36.703,23.266,0,676
392,88.058,61.316,0,1050
393,224.004,0.189,0,152
394,24.189,169.466,0,887
395,85.053,387.836,0,1715
396,137.159,6.884,0,351
397,93.665,0.003,0,6
398,147.506,202.160,0,2138
399,171.608,319.942,0,2038
400,139.182,307.081,0,2333
401,134.125,122.910,0,1483
402,100.254,815.046,61,2481
403,76.990,272.394,0,1421
404,79.937,17.082,0,718
405,134.674,149.993,0,1542
406,78.001,13.219,0,293
407,76.701,8.170,0,358
408,70.921,37.471,0,751
409,137.304,218.341,0,1795
410,18.669,225.099,0,814
411,23.033,35.309,0,311
412,39.044,19.853,0,677
413,84.533,25.327,0,646
414,87.162,14.246,0,329
415,67.453,495.698,0,1642
416,95.659,143.116,0,1523
417,112.045,194.217,0,1819
418,89.503,45.205,0,645
419,36.587,175.261,0,936
420,100.225,120.619,0,1081
421,126.611,0.012,0,21
422,92.971,44.603,0,551
423,24.941,86.458,0,926
424,151.609,71.654,0,1533
425,31.646,2.296,0,119
426,64.505,222.642,0,1983
427,133.460,129.544,0,1155
428,140.830,40.510,0,554
429,176.435,6.310,0,783
430,84.706,42.868,0,780
431,137.998,14.574,0,345
432,151.898,237.465,0,1401
433,83.868,18.902,0,505
434,149.269,167.560,0,1554
435,104.820,322.320,0,2176
436,88.058,28.013,0,563
437,49.795,42.384,0,432
438,137.651,1.695,0,295
439,113.808,28.714,0,1099
440,121.785,29.541,0,625
441,121.669,12.712,0,514
442,149.818,352.540,0,1961
443,116.554,86.880,0,762
444,114.878,101.244,0,1162
445,69.938,3.697,0,192
446,151.638,9.216,0,381
447,50.922,0.518,0,54
448,56.008,180.086,0,1003
449,138.691,4.751,0,363
450,109.069,49.318,0,651
451,138.200,37.579,0,749
452,62.626,195.507,0,1493
453,116.120,75.399,0,831
454,125.108,0.341,0,76
455,67.482,279.824,0,2009
456,83.723,48.196,0,792
457,133.634,1.290,0,169
458,80.747,267.322,0,1024
459,157.765,160.853,0,1943
460,109.676,18.869,0,721
461,107.103,5.717,0,199
462,38.293,372.688,0,1657
463,69.851,427.606,0,1531
464,91.353,6.616,0,359
465,92.914,1.016,0,178
466,60.285,78.715,0,1028
467,104.791,154.683,0,1152
468,64.129,100.764,0,1133
469,134.385,52.925,0,1200
470,134.038,1.371,0,144
471,55.575,0.028,0,20
472,16.762,1.067,0,111
473,116.351,19.377,0,526
474,89.474,5.874,0,369
475,75.776,14.606,0,298
476,111.612,11.050,0,392
477,84.735,1.334,0,132
478,96.844,133.629,0,1107
479,124.848,20.720,0,425
480,100.254,2.454,0,169
481,122.103,3.458,0,253
482,132.160,8.057,0,268
483,154.846,0.610,0,207
484,56.008,0.020,0,25
485,138.922,179.774,0,1825
486,125.888,22.814,0,485
487,91.151,382.661,0,1194
488,96.324,1.160,0,161
489,164.297,24.603,0,1254
490,48.205,3.656,0,132
491,105.312,9.808,0,418
492,122.016,48.741,0,1456
493,61.441,1.042,0,213
494,35.981,139.541,0,1383
495,52.049,32.665,0,401
496,111.959,104.962,0,1029
497,100.630,61.803,0,664
498,42.945,8.111,0,149
499,47.194,35.454,0,328
500,137.159,6.196,0,234
501,93.347,10.066,0,426
502,106.410,59.432,0,919
503,48.292,375.613,0,1496
504,127.738,71.042,0,845
505,89.128,8.443,0,430
506,51.731,2.430,0,333
507,29.507,27.842,0,477
508,71.817,188.117,0,1809
509,152.765,4.651,0,444
510,99.243,10.435,0,399
511,129.934,74.050,0,1048
512,72.452,3.236,0,278
513,54.274,561.262,0,1705
514,66.123,1.411,0,174
515,75.660,0.000,0,0
516,111.872,12.612,0,488
517,84.301,10.489,0,308
518,44.535,586.493,0,1668
519,134.154,270.139,0,892
520,45.229,0.000,0,0
521,156.118,267.825,0,1968
522,86.556,27.231,0,560
