 ,Area,Mean,Min,Max
1,22.976,4533.099,3673,5457
2,78.926,4124.599,3081,5312
3,84.128,4451.253,3064,6841
4,49.939,4927.555,3824,7135
5,93.925,4961.232,3813,6645
6,59.129,5401.789,4323,7120
7,103.809,5813.044,4467,8110
8,31.617,5413.952,4321,7196
9,120.108,5808.846,4232,7912
10,80.024,5240.157,3768,8023
11,83.983,3654.539,2332,6355
12,56.297,4405.415,2882,8530
13,57.020,3914.796,1985,6222
14,57.251,3573.844,2352,5550
15,29.969,3456.342,2703,4258
16,78.001,3874.274,2844,7659
17,65.834,6442.902,3337,15154
18,31.357,7156.714,4357,12871
19,72.221,5946.653,3726,11366
20,106.988,3907.435,2801,6547
21,96.873,4099.858,2990,7965
22,96.237,4071.333,2728,7078
23,72.163,4044.982,2828,6519
24,79.186,4222.365,2948,6201
25,127.854,4974.140,3121,11169
26,46.038,3879.656,2870,5668
27,45.200,3871.581,3003,4919
28,67.742,4142.702,3173,6624
29,62.135,4785.014,3385,8350
30,124.617,4706.273,2668,8253
31,143.315,4694.950,2197,14778
32,91.035,4086.152,2725,4881
33,34.767,4493.467,3128,6758
34,122.305,4107.231,1377,6647
35,58.089,4187.551,2704,6150
36,130.050,4483.642,2299,9894
37,38.004,3957.903,3254,6950
38,131.235,5375.676,3221,7402
39,86.122,4069.643,2890,6610
40,107.479,5013.404,3875,7115
41,110.600,4993.448,3472,7491
42,101.873,4066.375,2625,7979
43,149.586,5254.843,3270,8773
44,65.603,3824.755,2174,7012
45,140.685,4809.772,3441,7252
46,78.232,4510.535,3012,6704
47,54.910,4314.090,3240,5954
48,64.303,4793.125,3573,7001
49,88.550,5097.387,3947,7481
50,118.346,5581.088,4076,9626
51,107.913,3887.687,2605,5365
52,71.210,4660.685,2923,8948
53,95.226,3863.971,2743,5706
54,99.185,4080.077,2211,6832
55,121.958,4132.186,3036,5711
56,157.447,4518.858,3248,7112
57,27.773,4721.973,3285,13938
58,47.223,4193.933,3345,6191
59,75.574,4830.929,3449,6368
60,116.380,4269.804,2889,11318
61,91.555,3902.880,2507,5947
62,94.821,4151.566,2416,6240
63,100.081,5215.986,3775,7532
64,70.054,4204.272,2761,5883
65,117.883,5929.944,4254,9924
66,136.697,3974.326,2527,7311
67,132.160,4799.853,3068,8004
68,159.933,5049.503,3919,9270
69,112.623,4871.137,3573,7760
70,25.172,4069.588,2953,5102
71,62.222,4002.791,3028,6521
72,59.563,6444.616,4654,10666
73,73.435,4270.855,2965,8341
74,65.834,4728.146,2970,7435
75,157.881,4187.627,2292,9200
76,90.688,5204.818,3843,11240
77,82.163,5149.396,3925,7444
78,107.450,4300.567,3148,7490
79,116.034,4743.584,3658,6792
80,73.666,7712.039,4101,14132
81,99.272,3758.331,2001,6859
82,119.097,6855.537,3519,22527
83,108.317,4022.480,1389,5968
84,106.959,5243.553,4225,7521
85,76.152,5236.727,3872,7261
86,58.436,4473.675,3034,6838
87,113.317,3664.321,2388,7528
88,122.507,3730.540,2490,5162
89,65.198,3871.040,2787,5468
90,85.139,4690.735,2892,9729
91,38.755,4396.403,3360,6325
92,59.361,4066.039,3089,7502
93,113.172,6390.135,4142,12461
94,74.562,4912.471,3412,9417
95,120.224,5480.381,2581,11331
96,80.284,5571.376,2658,11612
97,50.546,5081.192,3836,6477
98,182.504,5306.576,2497,15251
99,74.707,3742.741,3022,4411
100,82.596,4839.618,3085,11507
101,99.647,4728.319,3204,7222
102,202.762,5341.274,3757,8083
103,69.505,6738.957,4439,14418
104,95.312,4344.738,2788,8337
105,65.603,4558.752,2858,12086
106,110.369,3681.731,2320,5260
107,108.953,4188.398,2827,6681
108,114.242,3930.399,2893,7721
109,128.085,4715.672,3186,7663
110,53.841,3808.316,2743,5769
