 ,Area,Mean,Min,Max
1,22.976,3085.726,1036,6178
2,78.926,3111.339,1982,6097
3,84.128,1722.833,1032,4358
4,49.939,2190.048,1282,6858
5,93.925,1619.939,1144,4451
6,59.129,1592.378,1364,3326
7,103.809,1840.180,1401,5326
8,31.617,2168.201,1410,4099
9,120.108,1822.513,1370,2935
10,80.024,1837.352,1346,2642
11,83.983,1277.103,870,2756
12,56.297,1372.057,893,2846
13,57.020,1722.063,794,4507
14,57.251,1569.140,942,5574
15,29.969,1330.415,1037,1676
16,78.001,1540.328,988,3524
17,65.834,1582.210,1204,2715
18,31.357,1499.008,1234,1879
19,72.221,1515.390,1138,2255
20,106.988,1263.571,758,2046
21,96.873,1343.513,966,2402
22,96.237,2503.189,1075,5071
23,72.163,1352.992,854,2732
24,79.186,1255.077,926,2631
25,127.854,1493.749,1029,3595
26,46.038,2190.169,1005,7114
27,45.200,2184.140,1085,6888
28,67.742,1667.259,968,4083
29,62.135,1345.038,899,2554
30,124.617,1528.589,1061,2869
31,143.315,1340.011,877,2394
32,91.035,1470.357,1079,2342
33,34.767,3482.141,1330,7976
34,122.305,1343.340,675,2080
35,58.089,1461.769,1064,2036
36,130.050,2475.223,1025,9253
37,38.004,1148.838,947,1514
38,131.235,1718.756,1029,2703
39,86.122,2558.512,1224,6980
40,107.479,1977.623,1279,6749
41,110.600,1621.178,1185,4887
42,101.873,1382.563,791,3205
43,149.586,2324.098,1452,7248
44,65.603,1284.687,909,3156
45,140.685,2052.022,1239,5747
46,78.232,1309.914,932,1990
47,54.910,1885.078,1210,4144
48,64.303,2112.477,1207,5026
49,88.550,1644.851,1252,2286
50,118.346,1691.923,1258,2398
51,107.913,1602.751,1015,4634
52,71.210,1482.407,1052,2914
53,95.226,1516.815,985,3394
54,99.185,1403.416,888,2175
55,121.958,2965.513,1065,9178
56,157.447,1448.459,1038,2642
57,27.773,1505.792,1175,2640
58,47.223,1237.181,998,1677
59,75.574,1805.610,1183,3735
60,116.380,1391.269,937,2396
61,91.555,2905.031,1158,5555
62,94.821,1782.859,882,8016
63,100.081,1856.516,1259,3895
64,70.054,2157.703,1221,5311
65,117.883,2150.771,1331,3713
66,136.697,1277.490,734,2031
67,132.160,1464.017,1038,3183
68,159.933,1431.830,1127,2603
69,112.623,1541.427,960,4308
70,25.172,1420.844,1068,1846
71,62.222,1252.337,919,2063
72,59.563,2429.672,1401,6433
73,73.435,1597.331,988,3276
74,65.834,1430.060,851,2416
75,157.881,1475.035,985,3290
76,90.688,2098.597,1215,5312
77,82.163,1381.600,1141,2106
78,107.450,1292.892,970,2524
79,116.034,1397.785,1043,2727
80,73.666,1732.164,1243,5648
81,99.272,1392.927,969,4593
82,119.097,4110.089,1472,27939
83,108.317,1960.509,711,8268
84,106.959,1648.348,1248,2775
85,76.152,1830.222,1262,3878
86,58.436,2886.223,1168,8116
87,113.317,1367.230,920,2756
88,122.507,1485.325,910,4484
89,65.198,1724.883,989,4371
90,85.139,1429.006,824,2934
91,38.755,4203.245,1341,9227
92,59.361,1268.702,1019,1937
93,113.172,2395.018,1600,19608
94,74.562,1422.189,1042,2925
95,120.224,1467.109,890,5455
96,80.284,1447.259,959,2096
97,50.546,2098.342,1271,4645
98,182.504,1392.453,553,2249
99,74.707,1291.627,989,2053
100,82.596,1436.957,1008,2327
101,99.647,1721.685,1179,3329
102,202.762,1853.365,1335,10720
103,69.505,1915.981,1478,3220
104,95.312,2438.513,1024,12082
105,65.603,1666.019,1091,3538
106,110.369,3702.404,1383,6168
107,108.953,1755.807,983,4883
108,114.242,1286.904,935,2889
109,128.085,1307.186,927,2009
110,53.841,1318.244,937,1904
111,142.275,1584.651,1036,4428
112,139.500,1353.161,1025,2705
113,81.527,3746.067,1197,11806
114,97.884,1416.518,934,3269
115,113.577,2359.681,999,9313
116,99.387,2187.833,1287,9581
117,81.787,1354.183,1077,2779
118,73.406,2196.401,1101,65105
119,73.579,1420.789,1192,1823
120,66.470,1466.786,910,3305
121,66.297,1662.190,1245,2898
122,99.214,1424.620,987,4883
123,80.804,1511.593,928,3771
124,41.558,1301.014,1000,1861
125,89.388,1670.521,1264,4271
