 ,Area,Mean,Min,Max
1,22.976,1484.575,1128,1917
2,78.926,1471.856,1121,1920
3,84.128,1435.678,1025,2120
4,49.939,1548.862,1199,2010
5,93.925,1592.888,1255,2340
6,59.129,1644.062,1427,1993
7,103.809,1714.162,1313,2005
8,31.617,1677.856,1338,2025
9,120.108,1702.192,1384,2338
10,80.024,1660.938,1337,1986
11,83.983,1127.631,717,1698
12,56.297,1216.146,859,2506
13,57.020,1285.119,531,2304
14,57.251,1185.612,547,1814
15,29.969,1195.532,954,1611
16,78.001,1243.003,930,1759
17,65.834,1292.967,963,3011
18,31.357,1268.528,1062,1521
19,72.221,1305.982,938,1705
20,106.988,1211.471,701,2537
21,96.873,1299.887,1013,2118
22,96.237,1370.567,915,2147
23,72.163,1288.737,871,1771
24,79.186,1312.869,1028,1690
25,127.854,1370.215,1012,1831
26,46.038,1338.254,1083,1852
27,45.200,1432.260,1086,1877
28,67.742,1495.428,1170,2125
29,62.135,1460.981,1030,1980
30,124.617,1473.031,1117,2270
31,143.315,1563.404,877,2409
32,91.035,1428.976,1034,2224
33,34.767,1464.038,1105,2094
34,122.305,1429.847,671,2194
35,58.089,1478.398,1095,2223
36,130.050,1380.980,752,2210
37,38.004,1283.579,1076,1742
38,131.235,1667.124,1129,2149
39,86.122,1427.076,1009,2190
40,107.479,1615.090,1264,2490
41,110.600,1578.502,1140,2774
42,101.873,1189.025,746,2349
43,149.586,1691.973,1207,2369
44,65.603,1139.599,752,2328
45,140.685,1640.173,1271,2412
46,78.232,1375.908,958,1837
47,54.910,1431.797,1082,1828
48,64.303,1735.514,1223,2839
49,88.550,1673.779,1333,2121
50,118.346,1689.420,1254,3584
51,107.913,1372.085,946,2037
52,71.210,1453.706,1102,2152
53,95.226,1358.932,906,2764
54,99.185,1454.758,902,3168
55,121.958,1430.488,1041,2204
56,157.447,1487.543,1069,2157
57,27.773,1428.766,1024,1755
58,47.223,1435.350,1164,2238
59,75.574,1603.909,1169,3208
60,116.380,1236.360,907,3116
61,91.555,1351.225,987,1843
62,94.821,1472.310,887,2226
63,100.081,1695.317,1348,2133
64,70.054,1488.445,999,1964
65,117.883,1678.886,1305,2254
66,136.697,1329.821,870,2171
67,132.160,1503.387,1112,2528
68,159.933,1510.834,1165,2139
69,112.623,1567.234,1117,2088
70,25.172,1398.392,1051,1865
71,62.222,1287.458,1031,1841
72,59.563,1724.426,1412,2045
73,73.435,1523.035,903,2540
74,65.834,1451.693,994,2031
75,157.881,1252.739,934,3542
76,90.688,1608.802,1282,2183
77,82.163,1522.636,1225,1931
78,107.450,1391.849,1026,2878
79,116.034,1524.819,1050,1955
80,73.666,1743.665,1327,3415
81,99.272,1149.607,786,1599
82,119.097,1662.345,1228,2131
83,108.317,1641.149,820,5754
84,106.959,1618.171,1335,1984
85,76.152,1701.078,1411,2463
86,58.436,1443.441,1031,2031
87,113.317,1357.479,972,2052
88,122.507,1256.034,909,1650
89,65.198,1235.922,935,1608
90,85.139,1538.669,896,2968
91,38.755,1492.130,1148,2093
92,59.361,1419.332,1144,2206
93,113.172,1685.711,991,2048
94,74.562,1462.795,1098,2293
95,120.224,1220.820,785,2551
96,80.284,1322.486,987,1734
97,50.546,1698.039,1316,2111
98,182.504,1279.826,921,3863
99,74.707,1382.926,1009,2600
100,82.596,1362.403,1071,1902
101,99.647,1616.991,1127,2871
102,202.762,1629.592,1224,2620
103,69.505,1726.411,1373,2078
104,95.312,1454.783,1124,2124
105,65.603,1545.274,1099,2592
106,110.369,1409.000,887,2071
107,108.953,1309.808,775,1903
108,114.242,1335.374,981,3066
109,128.085,1501.586,997,2198
110,53.841,1284.286,949,1801
111,142.275,1490.730,1078,2415
112,139.500,1484.915,1117,2181
113,81.527,1457.562,1076,2084
114,97.884,1405.845,1078,2343
115,113.577,1467.864,1101,2288
116,99.387,1665.368,1288,2170
117,81.787,1429.369,1186,1843
118,73.406,1455.360,1029,3346
119,73.579,1540.112,1225,1919
120,66.470,1197.377,862,1619
121,66.297,1608.466,1207,2386
122,99.214,1182.008,872,1793
123,80.804,1622.574,1079,2449
124,41.558,1547.952,1034,2929
125,89.388,1654.970,1388,2359
126,132.824,1120.656,694,1465
127,111.988,1549.566,1167,2340
128,118.981,1503.276,1128,2047
129,150.511,1307.231,880,2259
130,83.088,1563.274,1106,2667
131,91.642,1711.197,1275,2419
132,127.362,1293.833,970,1641
133,150.396,1729.952,1114,2572
134,89.041,1512.443,1193,2128
135,52.107,1505.492,1161,2384
136,115.571,1859.521,1286,2810
137,130.223,1699.498,1289,2128
138,105.919,1115.510,900,1497
139,100.312,1858.118,1258,4856
140,79.273,1187.288,677,2055
141,109.358,1270.965,943,1834
142,122.536,1654.856,1354,2677
143,111.930,1232.746,900,1687
144,107.132,1621.578,1216,2231
145,66.875,1655.159,921,3841
146,122.565,1217.098,352,1728
147,89.041,1726.641,1318,2334
148,129.154,1618.411,1058,2499
149,93.174,1466.835,1086,2345
150,112.016,1299.473,882,1655
151,128.634,1408.220,976,2256
152,86.758,1297.168,1040,1991
153,94.879,1420.440,1048,1984
154,128.287,1270.231,922,1646
155,101.034,1480.449,1060,2251
156,77.047,1502.241,1147,2147
157,50.113,1401.461,901,2038
158,71.932,1414.876,983,1877
159,55.199,1343.363,831,2349
160,98.116,1723.841,1315,2640
161,66.297,1328.442,891,1975
162,120.224,1258.188,905,1722
163,150.800,1478.889,1074,2217
164,96.382,1490.686,1066,2439
165,179.960,1532.149,1071,1949
166,61.384,1672.002,1333,2531
