 ,Area,Mean,Min,Max
1,22.976,1190.942,196,3903
2,78.926,233.132,28,538
3,84.128,1254.230,24,5597
4,49.939,2858.045,169,15072
5,93.925,2009.098,156,10087
6,59.129,1602.739,85,3715
7,103.809,2544.124,534,9279
8,31.617,1569.461,338,4902
9,120.108,2395.336,230,5912
10,80.024,2153.948,125,7885
11,83.983,1022.842,0,5221
12,56.297,2762.887,217,11215
13,57.020,1653.617,93,11685
14,57.251,832.464,33,7203
15,29.969,947.711,58,5280
16,78.001,1845.176,121,17323
17,65.834,831.201,67,10472
18,31.357,739.850,198,3044
19,72.221,1133.492,105,12831
20,106.988,1771.451,0,9072
21,96.873,1499.512,38,12075
22,96.237,1950.156,0,29521
23,72.163,2870.223,268,10715
24,79.186,4355.491,265,14884
25,127.854,1584.219,129,13195
26,46.038,770.465,0,7325
27,45.200,224.828,39,466
28,67.742,1390.171,87,7159
29,62.135,1980.456,126,9787
30,124.617,1968.516,188,13388
31,143.315,2596.266,134,32042
32,91.035,240.037,15,832
33,34.767,1269.204,68,11436
34,122.305,221.042,36,580
35,58.089,205.606,12,454
36,130.050,651.750,24,5251
37,38.004,1856.690,83,21181
38,131.235,1843.554,120,6377
39,86.122,220.431,32,446
40,107.479,2995.918,234,13867
41,110.600,901.564,99,4542
42,101.873,2269.992,95,19149
43,149.586,2059.344,157,8423
44,65.603,533.280,33,6793
45,140.685,1274.405,43,8231
46,78.232,5930.225,630,20193
47,54.910,2528.728,109,15717
48,64.303,596.067,14,3764
49,88.550,1192.444,100,6058
50,118.346,2457.726,80,10945
51,107.913,1441.514,171,5857
52,71.210,1551.925,9,11555
53,95.226,661.641,14,4651
54,99.185,220.418,0,462
55,121.958,997.878,18,6391
56,157.447,1498.093,114,10590
57,27.773,613.585,98,4483
58,47.223,2319.079,75,14574
59,75.574,1078.516,25,3929
60,116.380,4375.347,199,18932
61,91.555,175.241,0,401
62,94.821,230.247,0,590
63,100.081,2649.850,157,14291
64,70.054,635.326,135,3408
65,117.883,1536.388,160,5443
66,136.697,1044.593,61,12995
67,132.160,2700.274,172,20596
68,159.933,1416.684,0,6256
69,112.623,2011.053,132,8751
70,25.172,213.592,68,401
71,62.222,4866.985,409,11391
72,59.563,2741.698,700,7578
73,73.435,513.880,0,4215
74,65.834,1508.442,139,13937
75,157.881,322.754,0,5092
76,90.688,804.189,48,4170
77,82.163,2031.696,108,5454
78,107.450,1485.848,75,14253
79,116.034,1923.644,106,10035
80,73.666,1249.270,113,10476
81,99.272,1813.852,103,14084
82,119.097,635.193,54,6106
83,108.317,218.516,0,735
84,106.959,1857.506,136,4261
85,76.152,1120.882,132,4706
86,58.436,2597.576,93,19166
87,113.317,270.802,35,1588
88,122.507,822.687,0,5712
89,65.198,2136.660,105,8161
90,85.139,1838.818,138,14313
91,38.755,1107.089,86,10965
92,59.361,1044.547,72,7324
93,113.172,1116.248,0,8634
94,74.562,1837.560,122,13378
95,120.224,1654.550,115,9601
96,80.284,1810.058,77,8885
97,50.546,1932.371,222,6911
98,182.504,1089.875,125,8680
99,74.707,601.138,11,2568
100,82.596,2537.763,152,12114
